city,region,country,rank_display,institution,location code,size,focus,research,status,ar_score,er_score,fsr_score,cpf_score,ifr_score,isr_score,irn_score,ger_score,sus_score,overall_score,year,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,check_city,longitude,latitude
Doha,Asia,Qatar,173,Qatar University,QA,M,FC,VH,A,27.1,43.9,64.8,38.8,100,96.8,59.8,95.8,35.5,48.7,2024,55.6,42.1,49.2,44.2,51.2,109.6,yes,51.48615578,25.37552818
Callaghan,Oceania,Australia,173,"The University of Newcastle, Australia (UON)",AU,M,FC,VH,A,29.3,26.9,36.5,91.4,100,17.3,49.2,12.5,93.2,48.7,2024,72.8,36.6,55.6,73.9,66.9,93.6,no,151.7016026,-32.89277177
Cape Town,Africa,South Africa,173,University of Cape Town,ZA,L,FC,VH,A,44.4,51,12.6,45.7,59.9,21.2,95.4,88.9,75.1,48.7,2024,34.6,16.7,26.1,29.6,29.7,86.9,yes,18.45862418,-33.9576519
Rotterdam,Europe,Netherlands,176,Erasmus University Rotterdam ,NL,XL,FO,VH,A,37.3,50.9,22.5,53.4,83,60.1,71.6,63.7,49.4,48.5,2024,61.9,33.6,48.5,57.2,56.4,116.4,yes,4.465782781,51.92000156
Nagoya,Asia,Japan,176,Nagoya University,JP,L,FC,VH,A,61.5,65.1,87.5,33,15.4,19.1,17.6,16.6,24.1,48.5,2024,50.7,15.1,33.8,55.4,30.9,99.5,no,136.9656653,35.15385527
Liverpool,Europe,United Kingdom,176,University of Liverpool,UK,L,FC,VH,A,44.4,35,39.7,37.9,87.8,79,97.2,25.6,72,48.5,2024,66.4,25.4,46.9,57.6,64.1,81.2,yes,-2.967873923,53.4047823
Phoenix,North America,United States,179,Arizona State University,US,XL,CO,VH,A,46.7,36.7,6.8,61.5,64.5,30.1,87.9,26.6,97.3,48.1,2024,69,41.4,55.9,65.2,69.5,130.6,yes,-111.9304055,33.42299747
Dhahran,Asia,Saudi Arabia,180,King Fahd University of Petroleum & Minerals,SA,M,FC,VH,A,32.9,36.5,82.8,65.8,100,31.8,25.7,38.9,20.9,48,2024,47.4,12.2,30.7,40.8,32.9,105.1,no,50.14331888,26.30706238
Louvain-la-Neuve,Europe,Belgium,180,Universite catholique de Louvain (UCLouvain),BE,L,FC,VH,B,49.1,30.8,4.4,60.2,89.4,39.3,83.2,51.7,54.6,48,2024,63,21.4,43.3,56.1,67.8,90.7,no,4.613300077,50.66967667
Calgary,North America,Canada,182,University of Calgary,CA,XL,FC,VH,A,37.7,61.2,19.9,41.5,82.8,62,62.3,38.6,91.5,47.9,2024,72.3,33.2,53.8,71.3,64,99.7,yes,-114.1372409,51.0783738
Perth,Oceania,Australia,183,Curtin University,AU,L,CO,VH,A,32.4,31.8,14.3,86.2,100,26.4,84.9,25.7,50.6,47.8,2024,75.6,38.8,58.2,76.9,69.9,97.1,yes,36.04925965,-2.22972849
Lyon,Europe,France,184,Ecole Normale Superieure de Lyon,FR,S,CO,VH,A,30.5,14.4,95.7,98.4,70.8,14.6,34.3,10,5.9,47.6,2024,68.9,23.4,47.3,73,57.1,92.4,yes,4.825154196,45.73153963
Vienna,Europe,Austria,184,Technische Universitat Wien,AT,M,FO,VH,A,32.9,44.4,13.1,85.7,79.3,89,45.1,13.2,19,47.6,2024,66.2,27.4,47.8,65,61.1,93.4,yes,16.36588768,48.19865457
Monterry,Latin America,Mexico,184,Tecnologico de Monterrey,MX,XL,FC,HI,B,51.3,96.8,63.5,2.3,32.7,11.7,13.5,88.3,65.7,47.6,2024,43.8,17,31.1,45.6,36.7,38,no,-100.3066773,25.6423714
Gothenburg,Europe,Sweden,187,University of Gothenburg,SE,L,FC,VH,A,36.2,16.9,56.3,39.4,90.6,80.8,86.4,46.3,97.6,47.3,2024,62,23.6,43.8,61.3,54.2,99.4,yes,11.96900738,57.69838547
Skudai,Asia,Malaysia,188,Universiti Teknologi Malaysia ,MY,L,CO,VH,A,46.6,63.8,42.5,33.9,16,85.2,58.6,13.6,66.8,46.9,2024,30.5,8.2,19.9,35.4,18.3,62.1,no,103.6343899,1.558512798
Hamilton,North America,Canada,189,McMaster University,CA,L,FC,VH,A,40.5,38.2,75.1,29,99.3,59.5,40.2,37.2,70.1,46.8,2024,68.4,36,53.1,70.7,64,83.3,no,-79.92180032,43.26087897
Brisbane,Oceania,Australia,189,Queensland University of Technology (QUT),AU,XL,CO,VH,A,40.9,37.6,7.4,64.9,96,26.4,68.8,16.8,90.6,46.8,2024,70.9,38.6,55.6,71.2,67.1,96.3,yes,153.02447,-27.477313
Brussels,Europe,Belgium,189,Universite libre de Bruxelles,BE,L,FC,VH,A,34.4,38.9,3.3,63.3,97.1,85,69.1,35.7,60.4,46.8,2024,67.3,29.8,49.5,62.2,69.8,93.5,yes,4.379647277,50.81320677
Freiburg im Breisgau,Europe,Germany,192,Albert-Ludwigs-Universitaet Freiburg,DE,L,FC,VH,A,46.1,19.8,29.1,63.3,68.8,36.3,82.7,25.3,68.2,46.7,2024,66.3,27.3,47.8,63.7,53.9,95.6,yes,7.843363226,47.99277202
Paris,Europe,France,192,Ecole des Ponts ParisTech,FR,S,FO,VH,A,8.3,57.9,98.2,80.7,34.6,96.8,5.6,30,19.2,46.7,2024,75.4,42,59.5,78.7,70.1,81.4,yes,2.585828876,48.84111987
Wuhan,Asia,China,194,Wuhan University,CN,XL,FC,VH,A,40.9,44,12.8,87.4,40.7,5,48.4,35,44.4,46.6,2024,32.7,8.6,21.2,35.7,19.2,60.7,yes,114.361747,30.53604847
Minneapolis,North America,United States,195,University of Minnesota Twin Cities,US,XL,FC,VH,A,59,30.2,30.6,46.4,5.5,9.1,86.1,41.9,88.5,46.4,2024,75,37.7,57.3,72.6,71.7,124.5,yes,-93.25373121,44.9761326
Sapporo,Asia,Japan,196,Hokkaido University,JP,L,FC,VH,A,57.3,66,75.8,27.8,17.5,14.4,38.1,12.9,30.7,46.2,2024,50.7,15.1,33.8,55.4,30.9,99.5,no,141.3374381,43.07795747
New Delhi,Asia,India,197,Indian Institute of Technology Delhi (IITD),IN,M,CO,VH,A,51.2,75.9,22,64.3,2.4,1.4,6.6,32.8,37.5,46.1,2024,22.2,6.2,14.6,23.5,15.6,60.7,no,76.95770545,28.5664958
Bogota,Latin America,Colombia,198,Universidad de los Andes,CO,L,FC,HI,B,65.4,95.7,17.6,5.9,26.4,2,11.1,96.2,40.2,46,2024,31.7,10.2,21.5,30.9,22.5,26.3,yes,-92.98593944,-13.363895
Atlanta,North America,United States,166,Emory University,US,L,FC,VH,,25.6,16.4,97.3,84,53.5,32.4,56.8,23.6,85.7,49.6,2024,80.3,47.4,64.7,81,78,139.2,yes,-84.32481492,33.79713677
Mardrid,Europe,Spain,199,Universidad Autonoma de Madrid,ES,L,FC,VH,A,60.4,57.7,34.5,25.1,7.8,12,80.4,19.6,88.8,45.9,2024,48.4,23.6,36.6,45.1,44,78.2,no,-3.696936824,40.5466982
Tokyo,Asia,Japan,199,Waseda University,JP,XL,CO,VH,B,60.2,97.3,23.7,4.3,27.6,28.6,17.5,65.6,56.5,45.9,2024,57.4,29.3,44.1,67,35.4,98.6,yes,139.7170736,35.70873337
Belfast,Europe,United Kingdom,202,Queen's University Belfast,UK,L,FC,VH,A,33.6,30.3,27.5,43.5,100,98.9,84.1,14.3,91,45.8,2024,62.7,25.5,45.1,54.2,76,88.7,yes,-5.944691023,54.59136096
Riyadh,Asia,Saudi Arabia,203,King Saud University,SA,XL,FC,VH,A,36.9,21.3,64.2,32.2,99.7,21.3,88.6,71.7,75.8,45.2,2024,51.2,27.2,39.8,41.7,38.6,103.1,yes,46.5833166,24.72406697
Ottawa,North America,Canada,203,University of Ottawa,CA,XL,FC,VH,A,26.5,29.7,3.8,79.1,85.9,75.9,85.8,24.3,54.6,45.2,2024,73.3,37.9,56.5,68.7,80.6,81.1,yes,-75.68766977,45.42416687
Hamburg,Europe,Germany,205,Universitat Hamburg,DE,L,FC,VH,A,51,28.7,16.9,60,41.6,22.3,87.2,26.8,52.8,45.1,2024,69.8,27.8,49.9,61.4,64.9,98.9,yes,9.904678198,53.51352257
Dunedin,Oceania,New Zealand,206,University of Otago,NZ,L,FC,VH,A,46.3,27.1,11,51,100,29.2,38.1,44.7,98.1,45,2024,68.2,28.8,49.5,71.7,58.8,93,no,168.2744903,-45.44307646
Amsterdam,Europe,Netherlands,207,Vrije Universiteit Amsterdam,NL,XL,FC,VH,A,39.6,15.7,23.6,68.1,68.5,40.2,70.1,20.2,89.1,44.9,2024,69.9,49.9,60.4,58.1,76.7,90,yes,4.863144977,52.33375677
Aberdeen,Europe,United Kingdom,208,University of Aberdeen,UK,L,FC,VH,A,29.6,32.5,29.6,42.1,95.8,96.7,73.3,20.5,98.1,44.6,2024,65.1,24.4,45.8,56.1,61.3,113.8,yes,-2.104040823,57.16477607
Kingston,North America,Canada,209,Queen's University at Kingston,CA,L,FC,VH,A,40.5,56.7,5.3,45.1,70.1,30.6,22.5,71.5,85.4,44.5,2024,68.4,36,53.1,70.7,64,83.3,no,-76.49771612,44.22527947
Enschede,Europe,Netherlands,210,University of Twente,NL,M,FO,VH,A,20.6,38.3,39.4,65.3,99.3,91.1,67.6,12.6,33.2,44.4,2024,64.3,34.5,50.2,57.4,61,103.3,no,6.847215077,52.23965377
Bangkok,Asia,Thailand,211,Chulalongkorn University,TH,XL,FC,VH,A,66.6,50.1,31.5,7,15,2.9,49.4,87.2,85.9,44.3,2024,42.4,18.2,30.9,46.5,20.8,31.9,yes,100.5258448,13.73853695
Loughborough,Europe,United Kingdom,212,Loughborough University,UK,L,CO,VH,A,30.5,66.8,23.6,34.6,87.3,63.5,77.1,18.8,63.4,44.2,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,-1.234665323,52.7650252
Tubingen,Europe,Germany,213,Eberhard Karls Universitat Tubingen,DE,L,FC,VH,A,45.8,29.9,92.9,19.7,67.6,26.7,89.9,21.1,42.3,44.1,2024,62.7,26.3,45.4,57.6,52.5,101,no,9.057848576,48.52527127
Tokyo,Asia,Japan,214,Keio University,JP,XL,FC,VH,B,51.4,93.5,58,6,9.6,9.2,9.2,79.8,39.3,44,2024,57.4,29.3,44.1,67,35.4,98.6,yes,139.7405938,35.64895957
Tel Aviv,Asia,Israel,215,Tel Aviv University,IL,L,FC,VH,A,33.2,23.6,3.8,99.9,40.4,4.6,39.5,72.9,38.4,43.9,2024,67.2,31.2,50.1,60.2,71.9,79.5,no,34.80103408,32.11349597
Shanghai,Asia,China,216,Tongji University,CN,XL,FC,VH,A,34.4,13.1,28.8,91.8,56.7,32.6,21.3,18,65.4,43.5,2024,42.1,30.7,36.7,45.8,26.9,60.4,yes,121.3617502,31.2739382
Hsinchu ,Asia,Taiwan,217,National Yang Ming Chiao Tung University,TW,L,FC,VH,A,33.3,67.9,53.9,52.1,19,18.5,4.4,44.6,54.3,43.3,2024,49,13.7,32.2,61.8,24.8,80,no,120.9180513,24.95258446
Brighton,Europe,United Kingdom,218,University of Sussex,UK,L,FC,VH,A,22.9,8.9,14.6,70.9,96.1,93,62.9,30.6,97.2,43.1,2024,68.8,44.5,57.3,60.6,68,78.1,yes,-0.145142386,50.8430824
Padova,Europe,Italy,219,Universita di Padova,IT,XL,FC,VH,A,57.3,22,7.8,51.8,12.9,9.4,91.3,13.8,95,43,2024,60.9,25.9,44.3,55.8,55.5,57,yes,11.87223467,45.40822303
Campinas,Latin America,Brazil,220,Universidade Estadual de Campinas (Unicamp),BR,XL,FC,VH,A,70.3,50.1,13,24.9,11.7,2.9,53.7,9.6,74.8,42.7,2024,35.2,9,22.8,32.4,26,30.1,no,-47.09666452,-22.81900532
Lausanne,Europe,Switzerland,220,University of Lausanne,CH,L,FO,VH,A,29.4,15.1,36.6,65.1,99.9,56.6,48,27.9,61.6,42.7,2024,117.7,46.4,83.9,123.3,106.2,106.7,yes,6.577585676,46.52108947
Nijmegen,Europe,Netherlands,222,Radboud University ,NL,L,FC,VH,A,28.9,13.9,27.6,74.9,78.3,20.2,78.8,15.7,82.7,42.5,2024,64.3,34.5,50.2,57.4,61,103.3,no,5.861243777,51.82201887
Pittsburgh,North America,United States,222,University of Pittsburgh,US,L,FC,VH,A,37.9,15.2,96.1,38.7,7,14.9,81.1,33.1,90.5,42.5,2024,76.1,37.6,57.8,84.8,62,114.3,yes,-79.9631933,40.44443589
Rochester,North America,United States,224,University of Rochester,US,M,FC,VH,B,22.1,18.4,97.9,51.6,71.4,91.7,31.3,26.6,33.2,42.4,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-77.62857822,43.13055307
Bangalore,Asia,India,225,Indian Institute of Science,IN,S,SP,,A,41.5,20,46.4,100,4.8,1.7,4.4,13.8,10.7,42.1,2024,29.4,11.4,20.8,31.3,23.1,101.5,yes,77.56514108,13.01438809
Beirut ,Asia,Lebanon,226,American University of Beirut (AUB),LB,M,FC,VH,B,27.6,41.6,57.3,24.2,67.8,46.8,35.6,88.5,93.2,41.9,2024,46.3,16.5,32.2,33.4,37.8,20.7,no,35.47816908,33.90083587
Bogota,Latin America,Colombia,226,Universidad Nacional de Colombia,CO,XL,FC,HI,A,69.5,96.8,6.1,3.5,6.4,1.5,13.3,29.9,49.7,41.9,2024,31.7,10.2,21.5,30.9,22.5,26.3,yes,-86.89858747,6.9517808
Tainan City,Asia,Taiwan,228,National Cheng Kung University (NCKU),TW,L,FC,VH,A,49.4,75.6,32.9,21.2,23.7,15.7,10.9,30.2,78.2,41.8,2024,49,13.7,32.2,61.8,24.8,80,no,120.2142815,22.99676248
Erlangen,Europe,Germany,229,Friedrich-Alexander-Universitat Erlangen-Nernberg,DE,L,FC,VH,A,25.2,20.9,2.8,95.8,26.8,39.9,75.1,15.5,69.9,41.7,2024,66.3,29.8,49,58.4,54.8,118.7,yes,11.00196878,49.59791167
Almaty,Asia,Kazakhstan,230,Al-Farabi Kazakh National University,KZ,L,FC,HI,A,51.4,74.9,98.9,1.4,28.8,34,12,11.5,5.1,41.6,2024,35.9,19.4,28.1,33.3,33.7,37.7,yes,76.92000558,43.22526017
Abu Dhabi,Asia,United Arab Emirates,230,Khalifa University of Science and Technology,AE,S,SP,,A,19.7,20.4,87.2,48.3,100,75.3,29.6,9,66.5,41.6,2024,59.3,46.8,53.4,43.1,63.6,105.9,yes,54.22896433,24.38647392
Gottinge,Europe,Germany,232,University of Gottingen,DE,L,FC,VH,A,47.4,29,70.1,17.7,49.5,22.5,91.8,21.9,55.5,41.4,2024,62.7,26.3,45.4,57.6,52.5,101,no,9.935020277,51.54149457
Geelong,Oceania,Australia,233,Deakin University,AU,XL,FC,VH,A,29.6,25.8,4.8,67.4,96.7,59.9,51.4,26.2,54.3,41.3,2024,72.8,36.6,55.6,73.9,66.9,93.6,no,59.79383752,-3.20256381
Hsinchu City,Asia,Taiwan,233,National Tsing Hua University,TW,L,CO,VH,A,53.1,67.7,28.3,38.3,16.8,20.1,6.7,15.9,30.5,41.3,2024,49,13.7,32.2,61.8,24.8,80,no,120.994095,24.79612167
Edinburgh,Europe,United Kingdom,235,Heriot-Watt University,UK,M,CO,VH,A,16.4,21.1,18.6,79.4,100,97.6,40.2,21.3,43.5,41.2,2024,69.7,38.8,55.1,64,70.6,85.3,yes,-3.323220923,55.9095154
Paris,Europe,France,236,Universite de Paris-Cite,FR,XL,FO,VH,A,31.6,5.9,9.2,93.7,19.3,41.5,99.6,11.6,46,41.1,2024,75.4,42,59.5,78.7,70.1,81.4,yes,2.315808334,48.83766931
Hanover,North America,United States,237,Dartmouth College,US,M,FC,VH,B,21.1,24.2,57.9,78.6,5.3,33.9,6.6,72.1,66.8,40.9,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-72.29126842,43.70444057
Depok,Asia,Indonesia,237,Universitas Indonesia,ID,XL,FC,VH,A,50.5,73,50.4,2,75.8,4.8,2,58.7,42.3,40.9,2024,28.5,8.3,18.9,33.6,14.4,25.8,no,106.753467,-6.280460256
Palmerston North,Oceania,New Zealand,239,Massey University,NZ,M,CO,VH,A,30.4,16,43.2,22.7,98.2,97.9,65.2,44.9,94.7,40.6,2024,68.2,28.8,49.5,71.7,58.8,93,no,172.5203615,-38.9873536
Bonn,Europe,Germany,239,Rheinische Friedrich-Wilhelms-Universitat Bonn,DE,L,FC,VH,A,52.4,19.8,58,22.1,41.5,37.5,90.7,25.9,35.2,40.6,2024,65.9,25.5,46.7,58.2,62.2,84.3,yes,7.084945473,50.73179075
"Kelburn, Wellington",Oceania,New Zealand,241,Victoria University of Wellington,NZ,L,CO,VH,A,44.8,25.5,9.1,32.3,99.5,34.6,38.1,47,93.6,40.5,2024,68.2,28.8,49.5,71.7,58.8,93,no,92.48291701,-10.302341
Melbourne,Oceania,Australia,242,La Trobe University,AU,L,CO,VH,A,22.6,20.2,6.9,77.5,94.4,98.4,45.8,14.3,28.9,40.3,2024,70.2,42,56.9,68.8,64.1,100.5,yes,142.4670433,-35.7300927
Nathan,Oceania,Australia,243,Griffith University,AU,XL,FC,VH,A,26.5,16.2,7.5,65.8,100,31.7,72.7,15.5,93.3,40.1,2024,72.8,36.6,55.6,73.9,66.9,93.6,no,91.51307431,-24.157415
Guildford,Europe,United Kingdom,244,University of Surrey,UK,L,CO,VH,A,20.4,23.4,23.2,56.2,96.8,88.3,71.1,16.8,57.7,39.9,2024,63.7,33.5,49.4,55.5,63.9,90.1,no,-0.592041323,51.2431428
Amherst,North America,United States,245,University of Massachusetts Amherst,US,L,CO,VH,A,39.5,11.9,10.7,57.6,71,23.8,52,27.7,93.5,39.8,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-72.53262642,42.38675977
Darmstadt,Europe,Germany,246,Technical University of Darmstadt,DE,L,FO,VH,A,21,37.5,6.2,79,62.6,74.6,32.5,33.5,19.9,39.7,2024,62.7,26.3,45.4,57.6,52.5,101,no,8.653788477,49.87486987
Dresden,Europe,Germany,246,Technische Universitat Dresden,DE,L,FC,VH,A,37.5,37.7,91.2,14.8,46.2,35.2,87.4,11.2,30.7,39.7,2024,61.7,20,41.9,54.8,53,103.8,yes,13.72634008,51.02923667
Prague,Europe,Czech Republic,248,Charles University,CZ,XL,FC,VH,A,45.5,43.5,34.8,9.4,24.8,51.2,90.9,27.6,83.9,39.6,2024,51.5,26.8,39.8,45.5,38.9,65,yes,14.42109488,50.08675972
Antwerp,Europe,Belgium,248,University of Antwerp,BE,L,FC,VH,A,23.7,11.8,45.3,49.2,90.9,32.3,90,29.6,80.4,39.6,2024,67.1,23.2,46.3,59.1,71.2,83.2,yes,4.407664077,51.22280737
Hamilton ,Oceania,New Zealand,250,University of Waikato,NZ,M,CO,VH,A,18.4,13.2,11.3,75,99.3,73.3,17.5,44.5,79.8,39.5,2024,68.2,28.8,49.5,71.7,58.8,93,no,175.3156909,-37.78667067
Jerusalem,Asia,Israel,251,The Hebrew University of Jerusalem,IL,L,FC,VH,A,34.3,29.1,81.2,22.5,54.7,16,37.1,77.7,50.9,39.3,2024,66.1,38.5,53,59.3,70.2,72.3,yes,35.23882598,31.79455777
Turin,Europe,Italy,252,Politecnico di Torino,IT,XL,FO,VH,A,38.5,44.9,2.4,57.9,4.1,46.7,49.9,21.3,57.4,39.2,2024,59.6,18.2,39.9,58.4,55.2,66.2,yes,7.610783079,45.04680024
Porto,Europe,Portugal,253,University of Porto,PT,XL,FC,VH,A,39.8,22.9,11.1,58.1,7.3,18.7,93.8,17.6,77.3,39,2024,45.6,24.3,35.5,43.2,35.7,61.5,yes,-8.618274724,41.14654787
Macau,Asia,Macau ASR,254,University of Macau,MO,M,FO,VH,A,10.6,14.2,12.2,96.9,100,99.3,11.4,41.6,4.3,38.9,2024,50,,,,,,no,113.5432046,22.13000198
Cleveland,North America,United States,255,Case Western Reserve University,US,M,FC,VH,B,18.4,17.1,83,63.9,38.2,68.3,21,27,34.6,38.8,2024,72.9,44.7,59.5,74.2,68.4,120.9,no,-81.6119464,41.50869379
Harbin,Asia,China,256,Harbin Institute of Technology,CN,L,FO,VH,A,28.6,14.9,41.6,98.8,8.6,8.4,23.2,20.3,15.4,38.7,2024,34.1,13.4,24.3,37.6,21,60.5,no,126.6308557,45.74704357
Maastricht,Europe,Netherlands,256,Maastricht University ,NL,L,FO,VH,A,23.4,22.3,12.8,62.7,99.5,100,46.5,27,13.7,38.7,2024,67.4,29.3,49.3,59,59.1,97.6,yes,5.676553908,50.84322609
Christchurch,Oceania,New Zealand,256,University of Canterbury | Te Whare Wananga o Waitaha,NZ,L,CO,VH,A,33.8,33.1,10.9,32.8,99.8,35.3,21.9,62.6,97.1,38.7,2024,64.9,30.1,48.4,72.4,56.5,103.6,yes,172.5768605,-43.52248357
Brussels,Europe,Belgium,259,Vrije Universiteit Brussel (VUB),BE,L,FC,VH,A,23.1,16.8,75.9,22,93.6,59.2,88.4,31.1,67.4,38.6,2024,67.3,29.8,49.5,62.2,69.8,93.5,yes,4.394332477,50.82223287
